Title,Rating,Votes,Duration,Genres
356. The Ghost of Annie Lee,4.8,5,103,adventure
357. Il cammino: Viaggio in Calabria,8.4,7,58,adventure
358. Dracu Ra,5.7,44,106,adventure
359. De Legende van Familie Vos,5.6,60,81,adventure
360. Champions of the Golden Valley,9.2,78,81,adventure
361. Dead Dead Demon's Dededede Destruction Zenpen,7.0,145,120,adventure
364. Wilhelm Gustloff,8.7,9,110,adventure
368. Longe da Estrada,6.0,9,68,adventure
369. Moy lyubimyy chempion,2.3,421,95,adventure
370. Mobile Suit Gundam: Silver Phantom,6.1,13,90,adventure
371. Shanghai Story,8.1,65,71,adventure
372. Kade,6.3,18,92,adventure
373. Mountain Boy,8.0,30,93,adventure
374. Orango,7.3,75,94,adventure
375. Anytime,8.9,25,62,adventure
376. Operation Wakaliga: Fate and Blood,6.7,12,66,adventure
378. Cândido,6.3,64,99,adventure
379. Poklad,4.5,51,100,adventure
381. Goodbye Hamdi,6.6,12,85,adventure
383. Colour Palette,9.4,52,87,adventure
384. Nature Cat's Nature Movie Special Extraordinaire,7.1,21,53,adventure
386. The Ballad of Straw Hat Sam,8.5,13,45,adventure
387. The Long Quiet,9.4,5,94,adventure
388. Petualangan Anak Penangkap Hantu,5.7,28,99,adventure
389. Steal the Naughty List,4.8,128,90,adventure
390. Whites Only: Ade's Extremist Adventure,6.8,28,65,adventure
391. Abar Arownne Din Ratri,8.0,9,111,adventure
392. The Worlds Divide,7.9,40,120,adventure
394. Manyunya. Priklyucheniya v Moskve,5.7,112,87,adventure
397. The Blinkless,6.9,17,59,adventure
399. Chernyy zamok,5.0,63,115,adventure
400. Yasmeen's Element,7.6,22,76,adventure
"402. Fallen Leaves, Broken Lighters",7.7,8,96,adventure
403. Luccas e Gi em: Dinossauros,3.5,28,91,adventure
404. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6,38,71,adventure
405. StarGazer: The Need of the Many,5.0,12,47,adventure
410. Nothing Unusual,8.8,13,92,adventure
411. Ngesot,4.8,18,87,adventure
413. Novogodniy ekspress,7.4,9,47,adventure
415. BAM!,7.0,30,80,adventure
416. V potoke trekh stikhiy,5.2,42,85,adventure
417. Vikaasaparva,8.5,544,134,adventure
420. Hope & Glory,6.6,149,44,adventure
421. Masha i Medved v kino: Park chudes,6.9,20,58,adventure
422. Manyunya. Priklyucheniya v derevne,5.7,123,84,adventure
424. Mortadella,8.4,8,90,adventure
426. Lo carga el diablo,7.7,30,103,adventure
