Title,Rating,Votes,Duration,Genres
232. Code Geass: Rozé of the Recapture: Part 2,7.9,31,76.0,animation
234. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6,38,71.0,animation
236. Motu Patlu & The Race to the Diamond Valley,7.9,29,72.0,animation
238. Nothing Unusual,8.8,13,92.0,animation
239. Ganbatte Ikimasshoi,5.2,14,95.0,animation
"240. Robotia, the Movie",7.3,33,86.0,animation
241. Code Geass: Rozé of the Recapture: Part 3,7.4,27,76.0,animation
243. Sirds likums,6.7,18,65.0,animation
244. Rhythm of a Flower,7.3,15,81.0,animation
246. The Car Acrobatic Team Saga,7.2,12,112.0,animation
248. Bizarros Peixes das Fossas Abissais,7.6,15,75.0,animation
249. Masha i Medved v kino: Park chudes,6.9,20,58.0,animation
250. Le parfum d'Irak,8.0,52,95.0,animation
"252. Hey, Tete",6.4,9,151.0,animation
256. 2475 Dawn of Revolution,6.3,153,127.0,animation
257. Velký Pán,6.8,10,73.0,animation
258. Gujeyeog-eseo sal-a dol-aon dwaeji,5.0,15,105.0,animation
261. Abá e Sua Banda,7.1,15,84.0,animation
264. Bie ba zuo wen dang hui shi er,7.2,12,89.0,animation
265. Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.4,15,59.0,animation
267. LUDA,7.2,6,86.0,animation
276. Ekip: Siberay - Günes Firtinasi,6.0,14,72.0,animation
277. Dinonauts,5.9,8,77.0,animation
288. Luv You Shankar,5.8,45,120.0,animation
289. Iris the Movie: Full Energy!!,7.3,9,60.0,animation
291. Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65.0,animation
292. Code Geass: Rozé of the Recapture: Part 4,6.7,17,70.0,animation
293. Ivan Tsarevich i Seryy Volk 6,5.3,106,85.0,animation
294. Tri kota. Zimnie kanikuly,6.5,36,65.0,animation
296. Isle: Alpha One,8.7,8,97.0,animation
310. Zuzubalândia: O Filme,6.0,12,60.0,animation
312. Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7,12,78.0,animation
327. Bob a Bobek ve filmu: Na stope Mrkvojeda,7.1,34,80.0,animation
328. Animal Adventures: Save the Forest,7.7,34,85.0,animation
333. Let's Go! Anpanman: Baikinman and Lulun,6.5,8,64.0,animation
347. Turbozavry. God drakona,9.0,44,48.0,animation
369. Gintama the Movie 2D: Courtesan of the Nation Arc,8.0,9,109.0,animation
388. Young doctor's notes,3.5,7,86.0,animation
